S/No,Longitude,Latitude,Y1517,Y1921,Y2325
514,30.08589,-1.77289,0.24869,0.02088,0.33827
515,30.12148,-1.78326,0.17565,-0.01661,0.67439
516,30.07105,-1.76232,0.32096,0.06826,0.89401
517,30.11224,-1.81036,0.12201,0.06768,0.02998
518,30.08311,-1.75028,0.41069,0.06144,0.40353
519,30.11544,-1.81361,0.07104,0.05780,0.01441
520,30.08877,-1.80137,0.14129,0.05056,-0.08676
521,30.09318,-1.79842,0.15699,0.03956,0.31208
522,30.13004,-1.78213,0.22135,0.05508,0.66104
523,30.09778,-1.78607,0.22428,0.01659,0.48405
524,30.11851,-1.81322,0.08264,0.04077,0.14239
525,30.06885,-1.76903,0.28432,0.01661,0.88502
526,30.11016,-1.78473,0.18323,0.01033,0.39359
527,30.08422,-1.79141,0.19340,0.04705,0.34080
528,30.08210,-1.74473,0.40313,0.08327,0.58626
529,30.08297,-1.78969,0.19197,0.07323,0.18289
530,30.10913,-1.77414,,,
531,30.07745,-1.74979,0.33270,0.07941,0.65939
532,30.11303,-1.81922,0.05929,0.06929,-0.14119
533,30.07619,-1.77700,0.26895,0.01753,0.53856
534,30.11616,-1.77955,0.22341,0.00963,0.56522
535,30.07651,-1.76070,0.37182,0.07183,0.70087
536,30.09708,-1.78086,0.22728,0.02675,0.47397
537,30.11859,-1.78625,0.15266,0.00820,0.56603
538,30.11133,-1.80649,0.13606,0.08622,0.04099
539,30.08830,-1.79805,0.13519,0.08306,0.14928
540,30.11773,-1.77722,0.21922,0.02201,0.76721
541,30.11415,-1.78756,0.15448,-0.01625,0.53073
542,30.10336,-1.78450,0.20372,0.06825,0.28821
543,30.08599,-1.80040,0.16114,0.03191,0.24843
544,30.12016,-1.77720,0.19378,0.02184,0.71214
545,30.06715,-1.75844,0.37326,0.09024,0.47998
546,30.13088,-1.78821,0.17756,0.07770,0.37582
547,30.10215,-1.79854,0.12599,0.01112,0.07796
548,30.06978,-1.76502,0.31378,0.04589,0.49727
549,30.10763,-1.78552,0.18891,0.01998,0.44203
550,30.07361,-1.75520,0.38271,0.08375,0.63666
551,30.08402,-1.76980,0.31315,0.01412,0.47086
552,30.07238,-1.77155,0.28064,0.07647,0.75599
553,30.08279,-1.79166,0.20172,0.04999,0.21926
554,30.11401,-1.78912,0.13053,-0.01769,0.11803
555,30.08060,-1.77234,0.28273,0.01716,0.37334
556,30.07990,-1.76497,0.34439,0.04235,0.44035
557,30.10525,-1.80975,0.11939,0.01950,0.05155
558,30.06192,-1.75433,0.40547,0.09261,0.53308
559,30.08145,-1.77709,0.25348,0.02992,0.56938
560,30.08195,-1.80301,0.14706,0.02801,0.18636
561,30.08438,-1.77302,0.25971,0.01496,0.32562
562,30.08847,-1.77615,0.24425,0.02363,0.65837
563,30.09010,-1.80319,0.10643,0.04926,0.09380
564,30.08266,-1.76369,0.31859,0.05197,0.46565
565,30.07168,-1.75148,0.40039,0.07174,0.71787
566,30.12909,-1.79150,0.14888,0.02161,0.61970
567,30.05713,-1.76384,0.31061,0.05089,0.43769
568,30.06605,-1.76897,0.27677,0.08106,0.76941
569,30.12612,-1.79887,0.14404,0.03743,0.44804
570,30.07927,-1.77112,0.31437,0.01731,0.37909
571,30.09953,-1.77710,0.22736,0.05201,0.58327
572,30.12016,-1.80404,0.13253,0.05728,0.01475
573,30.10950,-1.78681,0.18500,0.02184,0.59914
574,30.08635,-1.76077,0.35800,0.04244,0.76285
575,30.07256,-1.74724,0.39573,0.06877,0.55864
576,30.10369,-1.77811,0.20276,0.05801,0.58866
577,30.10477,-1.81319,0.06486,0.09552,0.03366
578,30.07515,-1.75653,0.36190,0.07303,0.62707
579,30.08601,-1.77927,0.27852,0.05098,0.42921
580,30.05747,-1.75783,0.37417,0.11543,0.61343
581,30.09757,-1.80459,0.08543,0.05058,0.10095
582,30.05865,-1.76734,0.28837,0.05360,0.51963
583,30.07447,-1.76951,0.31584,0.04603,0.50536
584,30.11398,-1.77796,0.19687,0.01562,0.62944
585,30.12987,-1.77798,0.21685,0.04840,0.97616
586,30.09479,-1.80647,0.07660,0.06063,0.03589
587,30.07542,-1.76673,0.29658,0.03967,0.50512
588,30.13049,-1.78006,0.24144,0.02306,0.60067
589,30.06716,-1.76000,0.37206,0.08175,0.39390
590,30.09359,-1.79402,0.13186,-0.00011,0.16491
591,30.06153,-1.76659,0.28897,0.08661,0.76905
592,30.08356,-1.77970,0.26264,-0.00483,0.38866
593,30.08146,-1.76898,0.30586,0.02676,0.31871
594,30.08232,-1.77172,0.29620,0.00112,0.47362
595,30.09053,-1.79800,0.12404,0.03617,0.20787
596,30.06540,-1.75719,0.41107,0.09637,0.49887
597,30.12062,-1.77906,0.19949,0.02052,0.81235
598,30.09262,-1.78490,0.21283,0.06356,0.38384
599,30.11693,-1.78287,0.17314,0.01109,0.29168
600,30.07894,-1.75097,0.33661,0.09439,0.54247
