S/No,Longitude,Latitude,Y1517,Y1921,Y2325
152,30.00794,-1.74794,0.35022,0.03958,0.26492
153,30.00101,-1.75158,0.34476,0.06370,0.20411
154,30.01108,-1.75533,0.30147,0.05062,0.07881
155,30.01505,-1.75706,0.27119,0.04765,0.61855
156,30.03999,-1.77401,0.22211,-0.00069,0.08226
157,30.05204,-1.76226,0.32551,0.05337,0.84522
158,29.99306,-1.78210,0.23043,0.01166,0.21872
159,29.99793,-1.73532,0.39643,0.05936,0.70335
160,29.98262,-1.73301,0.41550,0.04162,0.80858
161,29.97772,-1.73535,0.44634,0.06196,0.56624
162,29.99547,-1.76638,0.29938,0.07433,0.28783
163,29.98800,-1.77388,0.24876,0.03229,0.28870
164,30.03209,-1.77224,0.25516,0.03584,0.15284
165,30.05084,-1.76120,0.33314,0.07270,0.91275
166,30.01198,-1.76987,0.24401,0.02790,-0.08442
167,29.99226,-1.73793,0.42635,0.04416,0.65162
168,30.02282,-1.77447,0.22113,0.02782,0.18472
169,30.02416,-1.75299,0.29100,0.03237,0.48457
170,30.05172,-1.76790,0.31952,0.03152,0.30056
171,30.02974,-1.78242,0.23208,0.06257,0.34308
172,30.05082,-1.76460,0.33099,0.02493,0.54933
173,30.00891,-1.77881,0.23013,-0.02601,-0.17928
174,29.98493,-1.73412,0.38710,0.07525,0.44369
175,30.03286,-1.75500,0.28186,0.07689,0.37641
176,29.98488,-1.75838,0.37092,0.00637,0.33698
177,29.97729,-1.73234,0.42116,0.08524,0.71308
178,30.04288,-1.76835,0.30352,0.05728,0.21945
179,30.02184,-1.75411,0.28187,0.00838,0.47686
180,30.02658,-1.77936,0.28467,0.02628,0.06574
181,30.00315,-1.74253,0.43927,0.02916,-0.25045
182,29.99648,-1.75905,0.33080,0.09482,0.27223
183,30.01661,-1.76129,0.28945,0.03891,0.40836
184,29.99405,-1.76790,0.29534,0.05359,0.26770
185,30.02769,-1.75605,0.24832,0.05044,0.60257
186,30.03498,-1.78461,0.18752,0.06978,0.24966
187,29.98881,-1.73537,0.41904,0.05142,0.44412
188,30.01289,-1.77725,0.19925,-0.02237,-0.04466
189,29.98758,-1.76540,0.31322,0.03610,0.27990
190,30.05864,-1.77014,0.23332,0.05582,0.48826
191,30.02516,-1.77122,0.27235,0.02217,-0.18893
192,30.00791,-1.78464,0.22111,0.01414,-0.39039
193,30.02029,-1.76257,0.27499,0.04525,0.57028
194,30.00899,-1.78912,0.23742,0.00564,-0.43147
195,30.01586,-1.76622,0.29223,0.01705,0.25294
196,30.01060,-1.78265,0.19866,0.01969,-0.11594
197,30.00215,-1.77758,0.30115,0.06448,0.04221
198,30.04034,-1.75782,0.33815,0.02355,0.41311
199,30.01371,-1.79076,0.24755,0.03707,-0.32891
200,30.01501,-1.77753,0.19902,0.03469,0.16901
201,30.05253,-1.79443,0.19426,0.04320,0.19771
202,30.07209,-1.78735,0.23161,0.08948,0.32942
203,30.07096,-1.77758,0.24204,0.01059,0.59836
204,30.05756,-1.78404,0.23923,0.03027,0.44728
205,30.07046,-1.80247,0.15986,0.09127,-0.03886
206,30.04908,-1.82957,0.06106,0.04443,-0.38560
207,30.05478,-1.77076,0.25200,0.05957,0.35424
208,30.07669,-1.78145,0.28350,0.05700,0.17515
209,30.04597,-1.80196,0.15337,0.00746,0.18883
210,30.07724,-1.78577,0.25513,0.02547,0.17001
211,30.04803,-1.80883,0.13041,0.03079,0.08361
212,30.05248,-1.81171,0.11742,0.04778,-0.09498
213,30.07198,-1.81661,0.11454,0.03934,-0.27004
214,30.05446,-1.82899,0.04117,0.01858,-0.66202
215,30.04765,-1.77288,0.30364,0.05378,0.26587
216,30.05514,-1.81034,0.13140,0.01991,-0.28840
217,30.05039,-1.80063,0.18722,0.02489,0.25278
218,30.08622,-1.80724,0.12799,0.05175,-0.13939
219,30.05619,-1.78309,0.23368,0.02377,0.53534
220,30.06310,-1.80600,0.12807,0.07726,-0.09285
221,30.05207,-1.78291,0.21565,0.04962,0.43572
222,30.06642,-1.79811,0.12968,0.02265,0.30453
223,30.05330,-1.82431,0.05451,0.01448,-0.74073
224,30.08359,-1.80469,0.12004,0.03663,0.19976
225,30.04508,-1.82035,0.14159,0.06576,-0.31168
226,30.04982,-1.82335,0.08015,0.04526,-0.25685
227,30.07779,-1.81512,0.10520,0.06270,-0.52104
228,30.05944,-1.79940,0.13704,0.05036,0.12705
229,30.05322,-1.80171,0.18038,0.04035,-0.06922
230,30.05525,-1.79673,0.13790,0.06765,0.23541
231,30.06405,-1.77116,0.25723,0.04623,0.42686
232,30.07468,-1.80450,0.11761,0.05400,-0.10639
233,30.05792,-1.83460,0.03101,0.01831,-0.41016
234,30.06840,-1.80526,0.14643,0.10224,0.02919
235,30.07297,-1.77811,0.27224,0.02012,0.38345
236,30.07409,-1.80954,0.12677,0.00906,-0.23794
237,30.06622,-1.78009,0.24654,0.04566,0.71928
238,30.07648,-1.81748,0.12031,0.04172,-0.43491
239,30.06519,-1.82447,0.07237,0.05827,-0.41028
240,30.08026,-1.82063,0.08167,0.05512,-0.43993
241,30.05143,-1.83424,0.03498,0.06136,-0.61797
242,30.05309,-1.83947,-0.03772,0.04556,-0.55706
243,30.07422,-1.81490,0.09621,0.03531,-0.24846
244,30.05409,-1.83211,0.04915,0.00698,-0.59775
245,30.05856,-1.79747,0.13572,0.05098,0.26913
246,30.04395,-1.81184,0.14876,0.02360,-0.20336
247,30.05195,-1.83748,-0.01112,0.06249,-0.54925
248,30.06117,-1.78890,0.19109,0.08204,0.32315
249,30.04528,-1.82795,0.07813,0.03739,-0.47704
250,30.09015,-1.81243,0.08917,0.06935,-0.17868
251,30.04984,-1.81746,0.10477,0.03972,-0.19511
252,30.04680,-1.77009,0.29536,0.04493,0.32525
253,30.08123,-1.82556,0.06838,0.07550,-0.46184
254,30.05533,-1.79350,0.18561,0.07433,0.34659
